ID,Variable 1,Dependency,Variable 2
396,lon250lat60,-,lon250lat50
397,lon250lat60,-,lon250lat70
398,lon250lat70,-,lon250lat60
399,lon250lat70,-,lon250lat80
400,lon250lat80,-,lon250lat70
401,lon250lat80,-,lon250lat90
402,lon250lat90,-,lon240lat-80
403,lon250lat90,-,lon250lat80
404,lon260lat-10,-,lon260lat0
405,lon260lat-30,->,lon260lat-20
406,lon260lat-40,->,lon260lat-30
407,lon260lat-50,->,lon260lat-40
408,lon260lat-60,->,lon260lat-50
409,lon260lat-70,->,lon260lat-60
410,lon260lat-80,->,lon260lat-70
411,lon260lat0,-,lon260lat-10
412,lon260lat0,-,lon260lat10
413,lon260lat10,-,lon260lat0
414,lon260lat10,-,lon260lat20
415,lon260lat20,-,lon260lat10
416,lon260lat20,-,lon260lat30
417,lon260lat30,-,lon260lat20
418,lon260lat30,-,lon260lat40
419,lon260lat40,-,lon260lat30
420,lon260lat40,-,lon260lat50
421,lon260lat50,-,lon260lat40
422,lon260lat50,-,lon260lat60
423,lon260lat60,-,lon260lat50
424,lon260lat60,->,lon260lat70
425,lon260lat70,-,lon260lat80
426,lon260lat80,-,lon260lat70
427,lon260lat90,->,lon260lat80
428,lon260lat90,-,lon270lat-80
429,lon270lat-30,-,lon250lat-40
430,lon270lat-50,->,lon250lat-50
431,lon270lat-50,->,lon270lat-40
432,lon270lat-50,-,lon270lat-60
433,lon270lat-60,-,lon270lat-50
434,lon270lat-60,-,lon270lat-70
435,lon270lat-70,-,lon270lat-60
436,lon270lat-70,-,lon270lat-80
437,lon270lat-80,-,lon260lat90
438,lon270lat-80,-,lon270lat-70
439,lon270lat0,->,lon270lat-10
440,lon270lat0,-,lon270lat10
441,lon270lat10,-,lon270lat0
442,lon270lat10,-,lon270lat20
443,lon270lat20,-,lon270lat10
444,lon270lat20,-,lon270lat30
445,lon270lat30,-,lon270lat20
446,lon270lat30,-,lon270lat40
447,lon270lat40,-,lon270lat30
448,lon270lat40,-,lon270lat50
449,lon270lat50,-,lon270lat40
450,lon270lat50,-,lon270lat60
451,lon270lat60,-,lon270lat50
452,lon270lat60,-,lon270lat70
453,lon270lat70,-,lon270lat60
454,lon270lat70,-,lon270lat80
455,lon270lat80,-,lon270lat70
456,lon270lat80,-,lon270lat90
457,lon270lat90,-,lon270lat80
458,lon280lat-10,-,lon280lat-20
459,lon280lat-10,-,lon280lat0
460,lon280lat-20,-,lon280lat-10
461,lon280lat-20,-,lon280lat-30
462,lon280lat-30,-,lon280lat-20
463,lon280lat-30,-,lon280lat-40
464,lon280lat-40,-,lon280lat-30
465,lon280lat-40,-,lon280lat-50
466,lon280lat-50,-,lon280lat-40
467,lon280lat-50,-,lon280lat-60
468,lon280lat-60,-,lon280lat-50
469,lon280lat-60,-,lon280lat-70
470,lon280lat-70,-,lon280lat-60
471,lon280lat-70,-,lon280lat-80
472,lon280lat-80,-,lon280lat-70
473,lon280lat-80,-,lon290lat90
474,lon280lat0,-,lon280lat-10
475,lon280lat0,-,lon280lat10
476,lon280lat10,-,lon280lat0
477,lon280lat10,-,lon280lat20
478,lon280lat20,-,lon280lat10
479,lon280lat20,-,lon280lat30
480,lon280lat30,-,lon280lat20
481,lon280lat30,-,lon280lat40
482,lon280lat40,-,lon280lat30
483,lon280lat40,-,lon280lat50
484,lon280lat50,-,lon280lat40
485,lon280lat50,-,lon280lat60
486,lon280lat60,-,lon280lat50
487,lon280lat60,-,lon280lat70
488,lon280lat70,->,lon260lat80
489,lon280lat70,-,lon280lat60
490,lon280lat70,-,lon280lat80
491,lon280lat80,-,lon280lat70
492,lon280lat80,-,lon280lat90
493,lon280lat90,-,lon280lat80
494,lon280lat90,-,lon290lat-80
495,lon290lat-10,-,lon290lat0
496,lon290lat-20,->,lon270lat-20
497,lon290lat-30,-,lon290lat-40
498,lon290lat-40,-,lon290lat-30
499,lon290lat-40,-,lon290lat-50
500,lon290lat-50,-,lon290lat-40
501,lon290lat-50,-,lon290lat-60
502,lon290lat-60,-,lon290lat-50
503,lon290lat-60,-,lon290lat-70
504,lon290lat-70,-,lon290lat-60
505,lon290lat-70,-,lon290lat-80
506,lon290lat-80,-,lon280lat90
507,lon290lat-80,-,lon290lat-70
508,lon290lat0,-,lon290lat-10
509,lon290lat0,-,lon290lat10
510,lon290lat10,-,lon290lat0
511,lon290lat10,-,lon290lat20
512,lon290lat20,-,lon290lat10
513,lon290lat20,-,lon290lat30
514,lon290lat30,-,lon290lat20
515,lon290lat30,-,lon290lat40
516,lon290lat40,-,lon290lat30
517,lon290lat40,-,lon290lat50
518,lon290lat50,-,lon290lat40
519,lon290lat50,-,lon290lat60
520,lon290lat60,-,lon290lat50
521,lon290lat60,-,lon290lat70
522,lon290lat70,-,lon290lat60
523,lon290lat70,-,lon290lat80
524,lon290lat80,-,lon290lat70
525,lon290lat80,-,lon290lat90
526,lon290lat90,-,lon280lat-80
527,lon290lat90,-,lon290lat80
528,lon300lat-10,-,lon300lat-20
529,lon300lat-10,-,lon300lat0
530,lon300lat-20,-,lon300lat-10
531,lon300lat-20,-,lon300lat-30
532,lon300lat-30,-,lon300lat-20
533,lon300lat-30,-,lon300lat-40
534,lon300lat-40,-,lon300lat-30
535,lon300lat-40,-,lon300lat-50
536,lon300lat-50,-,lon300lat-40
537,lon300lat-50,-,lon300lat-60
538,lon300lat-60,-,lon300lat-50
539,lon300lat-60,-,lon300lat-70
540,lon300lat-70,-,lon300lat-60
541,lon300lat-70,-,lon300lat-80
542,lon300lat-80,-,lon300lat-70
543,lon300lat-80,-,lon310lat90
544,lon300lat0,-,lon300lat-10
545,lon300lat0,-,lon300lat10
546,lon300lat10,-,lon300lat0
547,lon300lat10,-,lon300lat20
548,lon300lat20,-,lon300lat10
549,lon300lat20,-,lon300lat30
550,lon300lat30,-,lon300lat20
551,lon300lat30,-,lon300lat40
552,lon300lat40,-,lon300lat30
553,lon300lat40,-,lon300lat50
554,lon300lat50,-,lon300lat40
555,lon300lat50,-,lon300lat60
556,lon300lat60,-,lon300lat50
557,lon300lat60,-,lon300lat70
558,lon300lat70,-,lon300lat60
559,lon300lat70,-,lon300lat80
560,lon300lat80,-,lon300lat70
561,lon300lat80,-,lon300lat90
562,lon300lat90,-,lon300lat80
563,lon300lat90,-,lon310lat-80
564,lon30lat-10,-,lon30lat-20
565,lon30lat-10,-,lon30lat0
566,lon30lat-20,-,lon30lat-10
567,lon30lat-20,-,lon30lat-30
568,lon30lat-30,-,lon30lat-20
569,lon30lat-30,-,lon30lat-40
570,lon30lat-40,-,lon30lat-30
571,lon30lat-40,-,lon30lat-50
572,lon30lat-50,-,lon30lat-40
573,lon30lat-50,-,lon30lat-60
574,lon30lat-60,-,lon30lat-50
575,lon30lat-60,-,lon30lat-70
576,lon30lat-70,-,lon30lat-60
577,lon30lat-70,-,lon30lat-80
578,lon30lat-80,-,lon20lat90
579,lon30lat-80,-,lon30lat-70
580,lon30lat0,-,lon30lat-10
581,lon30lat0,-,lon30lat10
582,lon30lat10,-,lon30lat0
583,lon30lat10,-,lon30lat20
584,lon30lat20,-,lon30lat10
585,lon30lat20,-,lon30lat30
586,lon30lat30,-,lon30lat20
587,lon30lat30,-,lon30lat40
588,lon30lat40,-,lon30lat30
589,lon30lat40,-,lon30lat50
590,lon30lat50,-,lon30lat40
591,lon30lat50,-,lon30lat60
592,lon30lat60,-,lon30lat50
593,lon30lat60,-,lon30lat70
594,lon30lat70,-,lon30lat60
595,lon30lat70,-,lon30lat80
596,lon30lat80,-,lon30lat70
597,lon30lat80,-,lon30lat90
598,lon30lat90,-,lon20lat-80
599,lon30lat90,-,lon30lat80
600,lon310lat-10,-,lon310lat-20
601,lon310lat-10,-,lon310lat0
602,lon310lat-20,-,lon310lat-10
603,lon310lat-20,-,lon310lat-30
604,lon310lat-30,-,lon310lat-20
605,lon310lat-30,-,lon310lat-40
606,lon310lat-40,-,lon310lat-30
607,lon310lat-40,-,lon310lat-50
608,lon310lat-50,-,lon310lat-40
609,lon310lat-50,-,lon310lat-60
610,lon310lat-60,-,lon310lat-50
611,lon310lat-60,-,lon310lat-70
612,lon310lat-70,-,lon310lat-60
613,lon310lat-70,-,lon310lat-80
614,lon310lat-80,-,lon300lat90
615,lon310lat-80,-,lon310lat-70
616,lon310lat0,-,lon310lat-10
617,lon310lat0,-,lon310lat10
618,lon310lat10,-,lon310lat0
619,lon310lat10,-,lon310lat20
620,lon310lat20,-,lon310lat10
621,lon310lat20,-,lon310lat30
622,lon310lat30,-,lon310lat20
623,lon310lat30,-,lon310lat40
624,lon310lat40,-,lon310lat30
625,lon310lat40,-,lon310lat50
626,lon310lat50,-,lon310lat40
627,lon310lat50,-,lon310lat60
628,lon310lat60,-,lon310lat50
629,lon310lat60,-,lon310lat70
630,lon310lat70,-,lon310lat60
631,lon310lat70,-,lon310lat80
632,lon310lat80,-,lon310lat70
633,lon310lat80,-,lon310lat90
634,lon310lat90,-,lon300lat-80
635,lon310lat90,-,lon310lat80
636,lon320lat-10,-,lon320lat-20
637,lon320lat-10,-,lon320lat0
638,lon320lat-20,-,lon320lat-10
639,lon320lat-20,-,lon320lat-30
640,lon320lat-30,-,lon320lat-20
641,lon320lat-30,->,lon320lat-40
642,lon320lat-50,->,lon320lat-40
643,lon320lat-50,-,lon320lat-60
644,lon320lat-60,-,lon320lat-50
645,lon320lat-60,-,lon320lat-70
646,lon320lat-70,-,lon320lat-60
647,lon320lat-70,-,lon320lat-80
648,lon320lat-80,-,lon320lat-70
649,lon320lat-80,-,lon330lat90
650,lon320lat0,-,lon320lat-10
651,lon320lat0,->,lon320lat10
652,lon320lat30,->,lon320lat10
653,lon320lat40,->,lon320lat50
654,lon320lat60,->,lon320lat50
655,lon320lat60,-,lon320lat70
656,lon320lat70,-,lon320lat60
657,lon320lat70,-,lon320lat80
658,lon320lat80,-,lon320lat70
659,lon320lat80,-,lon320lat90
660,lon320lat90,-,lon320lat80
661,lon320lat90,-,lon330lat-80
662,lon330lat-10,-,lon330lat-20
663,lon330lat-10,-,lon330lat0
664,lon330lat-20,-,lon330lat-10
665,lon330lat-20,-,lon330lat-30
666,lon330lat-30,-,lon330lat-20
667,lon330lat-30,-,lon330lat-40
668,lon330lat-40,-,lon330lat-30
669,lon330lat-40,-,lon330lat-50
670,lon330lat-50,-,lon330lat-40
671,lon330lat-50,-,lon330lat-60
672,lon330lat-60,-,lon330lat-50
673,lon330lat-60,-,lon330lat-70
674,lon330lat-70,-,lon330lat-60
675,lon330lat-70,-,lon330lat-80
676,lon330lat-80,-,lon320lat90
677,lon330lat-80,-,lon330lat-70
678,lon330lat0,-,lon330lat-10
679,lon330lat0,-,lon330lat10
680,lon330lat10,-,lon330lat0
681,lon330lat10,-,lon330lat20
682,lon330lat20,-,lon330lat10
683,lon330lat20,-,lon330lat30
684,lon330lat30,-,lon330lat20
685,lon330lat30,-,lon330lat40
686,lon330lat40,-,lon330lat30
687,lon330lat40,-,lon330lat50
688,lon330lat50,-,lon330lat40
689,lon330lat50,-,lon330lat60
690,lon330lat60,-,lon330lat50
691,lon330lat60,-,lon330lat70
692,lon330lat70,-,lon330lat60
693,lon330lat70,-,lon330lat80
694,lon330lat80,-,lon330lat70
695,lon330lat80,-,lon330lat90
696,lon330lat90,-,lon320lat-80
697,lon330lat90,-,lon330lat80
698,lon340lat-10,-,lon340lat-20
699,lon340lat-10,-,lon340lat0
700,lon340lat-20,-,lon340lat-10
701,lon340lat-20,-,lon340lat-30
702,lon340lat-30,-,lon340lat-20
703,lon340lat-30,-,lon340lat-40
704,lon340lat-40,-,lon340lat-30
705,lon340lat-40,-,lon340lat-50
706,lon340lat-50,-,lon340lat-40
707,lon340lat-50,-,lon340lat-60
708,lon340lat-60,-,lon340lat-50
709,lon340lat-60,->,lon340lat-70
710,lon340lat-80,->,lon340lat-70
711,lon340lat-80,-,lon350lat90
712,lon340lat0,-,lon340lat-10
713,lon340lat0,-,lon340lat10
714,lon340lat10,-,lon340lat0
715,lon340lat10,-,lon340lat20
716,lon340lat20,-,lon340lat10
717,lon340lat20,-,lon340lat30
718,lon340lat30,-,lon340lat20
719,lon340lat30,-,lon340lat40
720,lon340lat40,-,lon340lat30
721,lon340lat40,-,lon340lat50
722,lon340lat50,-,lon340lat40
723,lon340lat50,-,lon340lat60
724,lon340lat60,-,lon340lat50
725,lon340lat70,-,lon340lat80
726,lon340lat80,-,lon340lat70
727,lon340lat80,-,lon340lat90
728,lon340lat90,-,lon340lat80
729,lon340lat90,-,lon350lat-80
730,lon350lat-10,-,lon350lat-20
731,lon350lat-10,->,lon350lat0
732,lon350lat-20,-,lon350lat-10
733,lon350lat-20,-,lon350lat-30
734,lon350lat-30,-,lon350lat-20
735,lon350lat-30,-,lon350lat-40
736,lon350lat-40,-,lon350lat-30
737,lon350lat-40,-,lon350lat-50
738,lon350lat-50,-,lon350lat-40
739,lon350lat-50,->,lon350lat-60
