from,to
lon30lat90,lon30lat80
lon310lat-10,lon310lat-20
lon310lat-10,lon310lat0
lon310lat-20,lon310lat-30
lon310lat-40,lon310lat-50
lon310lat-50,lon310lat-60
lon310lat-60,lon310lat-70
lon310lat-70,lon310lat-80
lon310lat0,lon310lat10
lon310lat10,lon310lat20
lon310lat20,lon310lat30
lon310lat30,lon310lat40
lon310lat40,lon310lat50
lon310lat50,lon310lat60
lon310lat60,lon310lat70
lon310lat80,lon310lat90
lon310lat90,lon300lat-80
lon320lat-10,lon320lat-20
lon320lat-10,lon320lat0
lon320lat-20,lon320lat-30
lon320lat-30,lon320lat-40
lon320lat-40,lon320lat-50
lon320lat-60,lon320lat-70
lon320lat-70,lon320lat-80
lon320lat0,lon320lat10
lon320lat10,lon320lat30
lon320lat40,lon320lat50
lon320lat60,lon320lat70
lon320lat70,lon320lat80
lon320lat80,lon320lat90
lon320lat90,lon330lat-80
lon330lat-10,lon330lat0
lon330lat-20,lon330lat-30
lon330lat-30,lon330lat-40
lon330lat-40,lon330lat-50
lon330lat-50,lon330lat-60
lon330lat-60,lon330lat-70
lon330lat-70,lon330lat-80
lon330lat10,lon330lat20
lon330lat20,lon330lat30
lon330lat30,lon330lat40
lon330lat40,lon330lat50
lon330lat50,lon330lat60
lon330lat60,lon330lat70
lon330lat70,lon330lat80
lon330lat80,lon330lat90
lon340lat-10,lon340lat-20
lon340lat-10,lon340lat0
lon340lat-20,lon340lat-30
lon340lat-30,lon340lat-40
lon340lat-40,lon340lat-50
lon340lat-50,lon340lat-60
lon340lat-60,lon340lat-70
lon340lat-70,lon340lat-80
lon340lat10,lon340lat20
lon340lat20,lon340lat30
lon340lat40,lon340lat50
lon340lat50,lon340lat60
lon340lat60,lon340lat70
lon340lat70,lon340lat80
lon340lat80,lon340lat90
lon340lat90,lon350lat-80
lon350lat-10,lon350lat-20
lon350lat-10,lon350lat0
lon350lat-20,lon350lat-30
lon350lat-30,lon350lat-40
lon350lat-40,lon350lat-50
lon350lat-50,lon350lat-60
lon350lat-80,lon350lat-70
lon350lat10,lon350lat20
lon350lat20,lon350lat30
lon350lat40,lon350lat50
lon350lat40,lon350lat70
lon350lat50,lon350lat60
lon350lat70,lon350lat80
lon350lat80,lon350lat90
lon350lat90,lon340lat-80
lon40lat-10,lon40lat0
lon40lat-20,lon40lat-30
lon40lat-30,lon40lat-40
lon40lat-40,lon40lat-50
lon40lat-60,lon40lat-70
lon40lat-60,lon60lat-50
lon40lat-80,lon50lat90
lon40lat10,lon40lat20
lon40lat20,lon40lat30
lon40lat40,lon40lat50
lon40lat50,lon40lat60
lon40lat60,lon40lat70
lon40lat90,lon50lat-80
lon50lat-10,lon50lat-20
lon50lat-50,lon50lat-60
lon50lat10,lon50lat20
lon50lat30,lon50lat40
lon50lat40,lon50lat50
lon50lat50,lon50lat60
lon50lat60,lon50lat70
lon50lat70,lon50lat80
lon60lat-10,lon60lat-20
lon60lat-10,lon60lat0
lon60lat-20,lon60lat-30
lon60lat-30,lon60lat-40
lon60lat-70,lon60lat-80
lon60lat0,lon60lat10
lon60lat10,lon60lat20
lon60lat20,lon60lat30
lon60lat30,lon60lat40
lon60lat40,lon60lat50
lon60lat50,lon60lat60
lon70lat-40,lon70lat-50
lon70lat-50,lon70lat-60
lon70lat-60,lon70lat-70
lon70lat-70,lon70lat-80
lon70lat10,lon70lat20
lon70lat20,lon70lat30
lon70lat40,lon70lat50
lon70lat50,lon70lat60
lon70lat60,lon70lat70
lon80lat-10,lon80lat-20
lon80lat-10,lon80lat0
lon80lat-30,lon80lat-40
lon80lat-70,lon80lat-80
lon80lat-80,lon90lat90
lon80lat0,lon100lat0
lon80lat10,lon80lat20
lon80lat20,lon80lat30
lon80lat30,lon80lat40
lon80lat40,lon80lat50
lon80lat50,lon80lat60
lon80lat60,lon80lat70
lon80lat70,lon80lat80
lon80lat80,lon80lat90
lon90lat-10,lon90lat-20
lon90lat-40,lon90lat-50
lon90lat-50,lon90lat-60
lon90lat-60,lon90lat-70
lon90lat-70,lon90lat-80
lon90lat0,lon90lat10
lon90lat10,lon90lat20
lon90lat20,lon90lat30
lon90lat40,lon90lat50
lon90lat50,lon90lat60
lon90lat70,lon90lat60
lon90lat80,lon90lat70
lon90lat90,lon90lat80

