"hyperparm","precision","recall","BSF","f1","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct"
35,0.96875,0.911764705882353,0.905313092979127,0.939393939393939,62,2,6,308,68,68,310,64,0,0,0
40,0.96875,0.911764705882353,0.905313092979127,0.939393939393939,62,2,6,308,68,68,310,64,0,0,0
45,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
50,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
55,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
60,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
65,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
70,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
75,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
80,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
85,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
90,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
95,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
100,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
1,0.951612903225806,0.867647058823529,0.857969639468691,0.907692307692308,59,3,9,307,68,68,310,62,0,0,0
5,0.968253968253968,0.897058823529412,0.890607210626186,0.931297709923664,61,2,7,308,68,68,310,63,0,0,0
10,0.968253968253968,0.897058823529412,0.890607210626186,0.931297709923664,61,2,7,308,68,68,310,63,0,0,0
15,0.953846153846154,0.911764705882353,0.902087286527514,0.932330827067669,62,3,6,307,68,68,310,65,0,0,0
20,0.954545454545455,0.926470588235294,0.916793168880455,0.940298507462687,63,3,5,307,68,68,310,66,0,0,0
25,0.955223880597015,0.941176470588235,0.931499051233397,0.948148148148148,64,3,4,307,68,68,310,67,0,0,0
30,0.955223880597015,0.941176470588235,0.931499051233397,0.948148148148148,64,3,4,307,68,68,310,67,0,0,0
35,0.955223880597015,0.941176470588235,0.931499051233397,0.948148148148148,64,3,4,307,68,68,310,67,0,0,0
40,0.955223880597015,0.941176470588235,0.931499051233397,0.948148148148148,64,3,4,307,68,68,310,67,0,0,0
45,0.955223880597015,0.941176470588235,0.931499051233397,0.948148148148148,64,3,4,307,68,68,310,67,0,0,0
50,0.955223880597015,0.941176470588235,0.931499051233397,0.948148148148148,64,3,4,307,68,68,310,67,0,0,0
55,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
60,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
65,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
70,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
75,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
80,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
85,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
90,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
95,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
100,0.955882352941177,0.955882352941177,0.946204933586338,0.955882352941177,65,3,3,307,68,68,310,68,0,0,0
